LICENSE NUMBER,LICENSE TYPE,ESTABLISHMENT,STREET ADDRESS,CITY/TOWN,PROVINCE,POSTAL CODE,Location
005685,Club,Creignish Recreation Centre,2123 Highway 19  ,Creignish,NS,,"Creignish, NS
"
006319,Club,Englishtown Community Hall,  ,Englishtown,NS,,"Englishtown, NS
"
001236,Eating Establishment,Blarney Stone Restaurant,16339 Hwy #103  ,Hebbs Cross,NS,,"Hebbs Cross, NS
"
005574,Special Premises,Eagle Crest Golf Course,2075 Lakewood RD,Centreville,NS,,"Centreville, NS
"
005708,Special Premises,Republic Airline Inc,8909 Purdue RD,Indpls,IN,46268,"Indpls, IN 46268
"
005396,Eating Establishment,Morris East,5212 Morris ST,Halifax,NS,B3J 14,"Halifax, NS B3J 14
(44.646244, -63.573566)"
001913,Eating Establishment,Marco's Grill & Pasta House,624 Main ST,Yarmouth,NS,B5A 4A9,"Yarmouth, NS B5A 4A9
(43.891389, -66.12908)"
001842,Club,Ken Wo Country Club,9514 Commercial ST,New Minas,NS,B4N 3E9,"New Minas, NS B4N 3E9
(45.07321, -64.435412)"
005325,Eating Establishment,Yan's Restaurant,752 Sackville Drive ,Lower Sackville,NS,B4E 1R7,"Lower Sackville, NS B4E 1R7
(44.77285, -63.692215)"
005191,Eating Establishment,Tan's Family Restaurant,900 Cole Harbour RD,Dartmouth,NS,B2V 2J4,"Dartmouth, NS B2V 2J4
(44.728992, -63.654891)"
003715,Eating Establishment,Mount Uniacke Pub & Eatery,"125 #1, Highway  ",Mount Uniacke,NS,B0N  1Z0,"Mount Uniacke, NS B0N 1Z0
(44.911937, -63.818958)"
004812,Eating Establishment,Vines Pasta Grill,4 Panavista DR,Dartmouth,NS,B2W 3M7,"Dartmouth, NS B2W 3M7
(44.693133, -63.495978)"
005213,Eating Establishment,Mumford Pizza,7037 Mumford  RD,Halifax,NS,B3L 2J1,"Halifax, NS B3L 2J1
(44.64904, -63.622334)"
001017,Club,"RCL Br. 102, New Germany",44 Varner RD,New Germany,NS,B0R 1E0,"New Germany, NS B0R 1E0
(44.528126, -64.700999)"
003224,Club,South Bar Volunteer Fire Department,2148 Highway 28 ,South Bar,NS,B1N 3H7,"South Bar, NS B1N 3H7
(46.196794, -60.201144)"
003785,Eating Establishment,Ceilidh Country Lodge,369 Shore RD,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
001446,Club,G.B. Centennial Citizens Band Radio Club,50 West AV,Glace Bay,NS,B1A 5P3,"Glace Bay, NS B1A 5P3
(46.211173, -59.961579)"
002327,Eating Establishment,Le Gabriel Restaurant,15424 Cabot Trail ,Cheticamp,NS,B0E 1H0,"Cheticamp, NS B0E 1H0
(46.619593, -61.002042)"
001084,Club,Pubnico Area Lions Club,2562 HWY #3 ,Pubnico Head,NS,B0W 3S0,"Pubnico Head, NS B0W 3S0
(43.672782, -65.798129)"
000828,Eating Establishment,Clansman Dining Room,9 Baird ST,North Sydney,NS,B2A 2M3,"North Sydney, NS B2A 2M3
(46.20848, -60.260963)"
000992,Club,"RCL Br. 24, Bridgewater",78 Churchill ST,Bridgewater,NS,B4V 1R7,"Bridgewater, NS B4V 1R7
(44.377023, -64.527271)"
000823,Eating Establishment,China Town Dining Room,367 Bedford Highway  ,Halifax,NS,B3M 2L3,"Halifax, NS B3M 2L3
(44.683287, -63.66099)"
001453,Club,Royal N.S. Yacht Squadron,376 Purcell's Cove RD,Halifax,NS,B3P 1C7,"Halifax, NS B3P 1C7
(44.621775, -63.587473)"
002178,Club,"RCL Br. 36, Oxford",74 Jackson ST,Oxford,NS,B0M 1P0,"Oxford, NS B0M 1P0
(45.743806, -63.853792)"
001000,Club,"RCL Br. 20, Digby",92 Mount ST,Digby,NS,B0V 1A0,"Digby, NS B0V 1A0
(44.608711, -65.781904)"
001095,Club,Petpeswick Yacht Club,434 East Petpeswick  RD,Musq. Hbr.,NS,B0J 2L0,"Musq. Hbr., NS B0J 2L0
(44.775029, -63.136294)"
004712,Eating Establishment,Rack and Roll Billiards Dining Room,3345 Plummer AV,New Waterford,NS,B1H 4K4,"New Waterford, NS B1H 4K4
(46.249291, -60.088128)"
004341,Club,Margaree Kinsmen Club,1280 East Margaree RD,East Margaree,NS,B0E 1Y0,"East Margaree, NS B0E 1Y0
(46.397281, -61.074733)"
003579,Eating Establishment,Shindig's Dining Room,510 Granville ST,Port Hawkesbury,NS,B9A 2M9,"Port Hawkesbury, NS B9A 2M9
(45.613847, -61.362637)"
004299,Eating Establishment,Spirits on the Mersey,344 Main ST,Liverpool,NS,B2M 3G4,"Liverpool, NS B2M 3G4
(44.033298, -64.716599)"
006187,Beverage Room,Stubborn Goat Beer Garden,1601 Lower Water ST,Halifax,NS,B3J 3P6,"Halifax, NS B3J 3P6
(44.646006, -63.570789)"
003856,Eating Establishment,The British Bulldog Gastro Pub,920 Cole Harbour RD,Dartmouth,NS,B2V 2J5,"Dartmouth, NS B2V 2J5
(44.671058, -63.499361)"
004983,Eating Establishment,Montana's Cookhouse Dining Room,194B Chain Lake DR,Halifax,NS,B3S 1C5,"Halifax, NS B3S 1C5
(44.647827, -63.674215)"
002201,Club,Kingston Lions Club,1482 Veterans  LN,Kingston,NS,B0P 1R0,"Kingston, NS B0P 1R0
(44.981256, -64.944938)"
001088,Club,Margaree Firemen's Club,7811 Cabot Trail ,Margaree Forks,NS,B0E 2A0,"Margaree Forks, NS B0E 2A0
(46.33042, -61.089864)"
005397,Club,St. Joseph's Lakeside Community Centre,2752 Ohio East RD,Antigonish,NS,B2G 2K8,"Antigonish, NS B2G 2K8
(45.568044, -62.069503)"
003983,Eating Establishment,Fireside Dining Room,1535 Dresden RW,Halifax,NS,B3J 3T1 ,"Halifax, NS B3J 3T1
(44.652776, -63.617731)"
005321,Eating Establishment,May Garden Chinese Restaurant ,1475 Bedford HY,Halifax,NS,B4A 3Z5,"Halifax, NS B4A 3Z5
(44.730719, -63.661598)"
002507,Eating Establishment,Fong Sing Restaurant ,278 Lacewood  DR,Halifax,NS,B3M 3N8,"Halifax, NS B3M 3N8
(44.662002, -63.657378)"
004747,Eating Establishment,Rhubarb Restaurant,8650 Peggy's Cove RD,Indian Harbour,NS,B3Z 3P4,"Indian Harbour, NS B3Z 3P4
(44.530232, -63.940046)"
001157,Eating Establishment,Sam's Restaurant (Stellarton),255 Foord ST,Stellarton,NS,B0K 1S0,"Stellarton, NS B0K 1S0
(45.55495, -62.66745)"
000769,Eating Establishment,Five Fisherman Dining Room,1740 Argyle ST,Halifax,NS,B3J 2B6,"Halifax, NS B3J 2B6
(44.647425, -63.575121)"
004788,Eating Establishment,Pizza Delight (Elmsdale),269 Highway 214  ,Elmsdale,NS,B2S 1K1,"Elmsdale, NS B2S 1K1
(44.967501, -63.504503)"
004576,Eating Establishment,Luong's Restaurant,165 Water ST,Shelburne,NS,B0T 1W0,"Shelburne, NS B0T 1W0
(43.750899, -65.340659)"
002526,Eating Establishment,Dockside Lobster & Seafood Restaurant,84 Montague ST,Lunenburg,NS,B0J 2C0,"Lunenburg, NS B0J 2C0
(44.377523, -64.315648)"
001817,Club,RAOB Harbour (Buffalo)Lodge #53,2 Wentworth ST,Dartmouth,NS,B2Y 2S5,"Dartmouth, NS B2Y 2S5
(44.665784, -63.565312)"
005099,Club,Canadian Lebanon Society,255 Bedford Hwy ,Halifax,NS,B3M 2K5,"Halifax, NS B3M 2K5
(44.677352, -63.649305)"
001064,Club,Dalhousie University Club,1 Alumni CR,Halifax,NS,B3H 3J5,"Halifax, NS B3H 3J5
(44.635773, -63.590013)"
004653,Eating Establishment,May Garden Restaurant,57 Beaverbank RD,Lower Sackville,NS,B4E 1V5,"Lower Sackville, NS B4E 1V5
(44.781366, -63.693539)"
001074,Club,Glooscap Curling Club,17 Crescent ST,Kentville,NS,B4N 3V9,"Kentville, NS B4N 3V9
(45.055958, -64.529493)"
004022,Eating Establishment,Dooly's Dining Room (Greenwood),963 Central AV,Greenwood,NS,B0P 1N0,"Greenwood, NS B0P 1N0
(44.969714, -64.929412)"
001587,Eating Establishment,Motel Transcotia,3457 Highway #7 ,Brooklyn,NS,B0J 1H0,"Brooklyn, NS B0J 1H0
(45.006378, -64.011133)"
001312,Club,"RCL Br. 49, Mahone Bay",21 Pond ST,Mahone Bay,NS,B0J 2E0,"Mahone Bay, NS B0J 2E0
(44.499319, -64.471872)"
002895,Eating Establishment,L'Evangeline Dining Room,8946 Route 1 ,Meteghan River,NS,B0W 2L0,"Meteghan River, NS B0W 2L0
(44.214982, -66.143744)"
005214,Club,Five Islands & District Fire Brigade,353 Highway #2 ,Lower Five Islands,NS,B0M 1N0,"Lower Five Islands, NS B0M 1N0
(45.415943, -64.105799)"
001370,Eating Establishment,Sheet Harbour Motel,22715 P.O. Box 128 ,Sheet Harbour,NS,B0J 3B0,"Sheet Harbour, NS B0J 3B0
(44.922015, -62.521117)"
001230,Club,"RCL Br. 156, Lakeside",231 Greenhead RD,Lakeside,NS,B3T 1B1,"Lakeside, NS B3T 1B1
(44.634894, -63.703386)"
003615,Club,Paper Workers Club 972,323 Reeves ST,Port Hawkesbury,NS,B9A 2W2,"Port Hawkesbury, NS B9A 2W2
(45.632848, -61.302671)"
001474,Club,"RCL Br. 14, River Hebert",1596 Main ST,River Hebert,NS,B0L 1G0,"River Hebert, NS B0L 1G0
(45.690566, -64.377891)"
002539,Eating Establishment,Tattingstone Inn Dining Room,620 Main ST,Wolfville,NS,B4P 1E8,"Wolfville, NS B4P 1E8
(45.0913, -64.36422)"
005292,Eating Establishment,White Gate Inn & Restaurant Inc.,26 Pleasant ST,Chester,NS,B0J 1J0,"Chester, NS B0J 1J0
(44.556057, -64.234412)"
004897,Eating Establishment,Patio Lantern Restaurant,1290 East Prince ST,Truro,NS,B2N 1J6,"Truro, NS B2N 1J6
(45.364484, -63.253088)"
005068,Eating Establishment,Mateus Bistro,533 South Main ST,Mahone Bay,NS,B0J 2E0,"Mahone Bay, NS B0J 2E0
(44.499319, -64.471872)"
003000,Eating Establishment,Hugo's Dining Room,451 Windmill RD,Dartmouth,NS,B3A 1J9,"Dartmouth, NS B3A 1J9
(44.684889, -63.598662)"
004690,Eating Establishment,Mary's Place Restaurant,2752 Robie ST,Halifax,NS,B3K 4P2,"Halifax, NS B3K 4P2
(44.656466, -63.597489)"
005070,Eating Establishment,"Boston Pizza EE, Dartmouth",611 Portland ST,Dartmouth,NS,B2W 2M6,"Dartmouth, NS B2W 2M6
(44.671069, -63.529128)"
004887,Club,Mira Boat Club & Seniors Community Centre,545 Hillside RD,Albert Bridge,NS,B1K 3H9,"Albert Bridge, NS B1K 3H9
(46.025369, -60.083435)"
004568,Eating Establishment,Wreck Room Dining Room (The),1 Dock ST,Shelburne,NS,B0T 1W0,"Shelburne, NS B0T 1W0
(43.750899, -65.340659)"
001672,Eating Establishment,Bluenose Dining Room (Halifax),1824 Hollis  ST,Halifax,NS,B3J 1W4,"Halifax, NS B3J 1W4
(44.649055, -63.573527)"
000997,Club,"RCL Br. 88, Chester Basin",25 Highway #12  ,Chester Basin,NS,B0J 1K0,"Chester Basin, NS B0J 1K0
(44.568145, -64.304871)"
001922,Eating Establishment,Miner's Village Restaurant,17 Museum ST,Glace Bay,NS,B1A 5T8,"Glace Bay, NS B1A 5T8
(46.197683, -59.951269)"
001305,Club,Oakfield Golf & Country Club,6055 Highway #2 ,Grand Lake,NS,B2T 1C6,"Grand Lake, NS B2T 1C6
(44.962338, -63.558226)"
004614,Club,"RCL Br. 55, Port Morien",2832 Highway 255 ,Port Morien,NS,B1B 1V8,"Port Morien, NS B1B 1V8
(46.128163, -59.876494)"
001231,Club,"RCL Br. 19, North Sydney",16 Archibald AV,North Sydney,NS,B2A 3M1,"North Sydney, NS B2A 3M1
(46.211833, -60.268325)"
001111,Club,Westville Curling Club,2060 Foley ST,Westville,NS,B0K 1A0,"Westville, NS B0K 1A0
(45.6, -62.266667)"
003770,Cabaret,Reflections Cabaret,5187 Salter ST,Halifax,NS,B3J 1E6,"Halifax, NS B3J 1E6
(44.644752, -63.5725)"
003218,Club,West Brooklyn Community Centre,410 West Brooklyn Mt. RD,Wolfville,NS,B4P 2R3,"Wolfville, NS B4P 2R3
(45.077585, -64.307659)"
001045,Club,Bateston Athletic Pensioners and Seniors Club,1426 Mira Bay DR,Bateston,NS,B1C 2A8,"Bateston, NS B1C 2A8
(46.005338, -59.886041)"
005119,Eating Establishment,Wooden Monkey Dining Room,1707 Grafton  ST,Halifax,NS,B3J 2C6,"Halifax, NS B3J 2C6
(44.646977, -63.575406)"
005533,Club,Judique & District Fire Hall,30 River Denys RD,Judique,NS,B0E 1P0,"Judique, NS B0E 1P0
(45.899591, -61.485883)"
004717,Eating Establishment,Rudder's Seafood Restaurant,96 Water ST,Yarmouth,NS,B5A 4P9,"Yarmouth, NS B5A 4P9
(43.836479, -66.121578)"
005020,Eating Establishment,"Jungle Jim's Dining Room, New Minas",9049 Commercial ST,New Minas,NS,B4N 5A4,"New Minas, NS B4N 5A4
(45.027355, -64.661303)"
003843,Eating Establishment,Argyle Bar and Grill Dining Room,1575 Argyle ST,Halifax,NS,B3J 2B2,"Halifax, NS B3J 2B2
(44.64533, -63.573882)"
001363,Eating Establishment,Tay Do Palace Restaurant,583 Main ST,Kingston,NS,B0P 1R0,"Kingston, NS B0P 1R0
(44.981256, -64.944938)"
001082,Club,Lingan Golf & Country Club,1229 Grand Lake RD,Sydney,NS,B1M 1A2,"Sydney, NS B1M 1A2
(46.163403, -60.09538)"
002778,Eating Establishment,Pitch & Pivot Social Room,240 Brownlow AV,Dartmouth,NS,B3B 1X6,"Dartmouth, NS B3B 1X6
(44.695686, -63.575136)"
005185,Eating Establishment,HK Wong's Palace Restaurant,644 Portland  ST,Dartmouth,NS,B2W 6A3,"Dartmouth, NS B2W 6A3
(44.671286, -63.527092)"
002016,Eating Establishment,The Wooden Monkey Dining Room,88 Alderney DR,Dartmouth,NS,B2Y 3Z6,"Dartmouth, NS B2Y 3Z6
(44.699281, -63.485051)"
001303,Club,Middleton Curling Club,6 King ST,Middleton,NS,B0S 1P0,"Middleton, NS B0S 1P0
(44.940456, -65.066774)"
000840,Eating Establishment,Joe's Food Emporium Dining Room,434 Main ST,Wolfville,NS,B4P 1E2,"Wolfville, NS B4P 1E2
(45.0914, -64.36281)"
000881,Eating Establishment,Fickle Frog,5675 Spring Garden  RD,Halifax,NS,B3J 1G9,"Halifax, NS B3J 1G9
(44.642657, -63.578842)"
005323,Eating Establishment,By The Dock of the Bay Cafe,28 Haddock Alley ,Margaretsville,NS,B0S 1N0,"Margaretsville, NS B0S 1N0
(45.042468, -65.037789)"
003999,Eating Establishment,Diane's Take-Out Restaurant,874 Highway #2  ,Five Islands,NS,B0M 1K0,"Five Islands, NS B0M 1K0
(45.411845, -64.036888)"
006338,Beverage Room,Lunn's Mill Beer Company Ltd. ,515 Hwy 201 ,Lawrencetown,NS,B0S 1M0,"Lawrencetown, NS B0S 1M0
(44.882339, -65.16387)"
003549,Beverage Room,Bowlarama (Halifax),3459 Desmond AV,Halifax,NS,B3L 2C2,"Halifax, NS B3L 2C2
(44.653612, -63.627898)"
003903,Eating Establishment,"Brewdebaker's Tap and Grill Dining Room, Halifax",287 Lacewood DR,Halifax,NS,B3M 3Y7,"Halifax, NS B3M 3Y7
(44.661801, -63.650707)"
002688,Eating Establishment,Seaside Shanty Restaurant,5315 Highway #3 ,Chester Basin,NS,B0J 1J0,"Chester Basin, NS B0J 1J0
(44.556057, -64.234412)"
003744,Eating Establishment,Townhouse Brewpub & Eatery ,76 College ST,Antigonish,NS,B2G 1X7,"Antigonish, NS B2G 1X7
(45.62251, -61.991452)"
003862,Eating Establishment,Teazer's Dining Room,10 Gerard AV,Amherst,NS,B4H 2S9,"Amherst, NS B4H 2S9
(45.830378, -64.214259)"
000805,Cabaret,Palace Cabaret,1721 Brunswick ST,Halifax,NS,B3J 2G4,"Halifax, NS B3J 2G4
(44.646708, -63.576681)"
002497,Eating Establishment,Da Maurizio,1496 Lower Water ST,Halifax,NS,B3J 1R7,"Halifax, NS B3J 1R7
(44.645793, -63.56566)"
003500,Club,West River Fire Department,19 Gates RD,Pictou,NS,B0K 1P0,"Pictou, NS B0K 1P0
(45.54981, -62.968141)"
002960,Eating Establishment,Bonnie Prince Dining Room,50 Reeves ST,Sydney,NS,B1P 6G6,"Sydney, NS B1P 6G6
(46.143784, -60.1577)"
006283,Club,Glace Bay Volunteer Fire Department,87 Reserve ST,Glace Bay,NS,B1A 4W3,"Glace Bay, NS B1A 4W3
(46.190896, -59.98196)"
005353,Eating Establishment,Days Gone By Bakery & Restaurant,143-145 Main ST,Guysborough,NS,B0H 1N0,"Guysborough, NS B0H 1N0
(45.369785, -61.472788)"
001018,Club,"RCL Br. 34,  New Glasgow",39 North Provost ST,New Glasgow,NS,B2H 2N5,"New Glasgow, NS B2H 2N5
(45.589488, -62.644423)"
004245,Club,Nova Scotia Guides Association,396 Hibernia  RD,Caledonia,NS,B0T 1B0,"Caledonia, NS B0T 1B0
(44.392584, -65.036832)"
003072,Club,New Waterford District Senior Citizens Recreation Club,3390 Plummer AV,New Waterford,NS,B1H 1Y9,"New Waterford, NS B1H 1Y9
(46.249028, -60.086689)"
002443,Eating Establishment,Simeon's 11 Restaurant,531 Grand Lake RD,Sydney,NS,B1P 5T1,"Sydney, NS B1P 5T1
(46.160936, -60.110492)"
005192,Eating Establishment,Talay Thai Restaurant,1300 Hollis  ST,Halifax,,B3J 1T6,"Halifax B3J 1T6
(44.656014, -63.55563)"
005012,Club,Ukrainian Catholic Men's Club,49 West ST,Sydney,NS,B1N 1R9,"Sydney, NS B1N 1R9
(46.157941, -60.180821)"
001028,Club,"RCL Br. 70, Stewiacke",299 George  ST,Stewiacke,NS,B0N 2J0,"Stewiacke, NS B0N 2J0
(45.103912, -63.412696)"
000874,Eating Establishment,Keg Dining Room,1712 Market ST,Halifax,NS,B3J 2E3,"Halifax, NS B3J 2E3
(44.646813, -63.576047)"
001959,Eating Establishment,Garrison House Inn,350 St. George ST,Annapolis Royal,,B0S 1A0,"Annapolis Royal B0S 1A0
(44.73394, -65.498816)"
001233,Club,"RCL Br. 126, Westmount ",99 Midgley DR,Westmount,NS,B1R 1Z6,"Westmount, NS B1R 1Z6
(46.141761, -60.221863)"
005102,Eating Establishment,Phil's Seafood Ltd.,6285 Quinpool RD,Halifax,NS,B3L 1A4,"Halifax, NS B3L 1A4
(44.645526, -63.596843)"
003492,Eating Establishment,Clay West Bar & Grill,120 Susie Lake CR,Halifax,NS,B3S 1C7,"Halifax, NS B3S 1C7
(44.64583, -63.674764)"
001290,Club,"ANAF #373, Halifax",2409 Maynard ST,Halifax,NS,B3K 3V2,"Halifax, NS B3K 3V2
(44.653688, -63.58888)"
003367,Beverage Room,Bowlarama (Dartmouth),31 Atlantic  ST,Dartmouth,NS,B2Y 4P4,"Dartmouth, NS B2Y 4P4
(44.652697, -63.541442)"
002106,Club,Noel & District Volunteer Fire Department,1639 Burntcoat RD,Noel,NS,B0N 2C0,"Noel, NS B0N 2C0
(45.285867, -63.748668)"
003594,Club,Kingston District Fire Department,570 Sparky ST,Kingston,NS,B0P 1R0,"Kingston, NS B0P 1R0
(44.981256, -64.944938)"
002672,Eating Establishment,Glooscap Restaurant,758 Upper Main ST,Parrsboro,NS,B0M 1S0,"Parrsboro, NS B0M 1S0
(45.467124, -64.359312)"
001851,Eating Establishment,Old Fish Factory Restaurant,68 Bluenose DR,Lunenburg,NS,B0J 2C0,"Lunenburg, NS B0J 2C0
(44.377523, -64.315648)"
004187,Eating Establishment,Passage Pub Dining Room,3640 Highway #3 ,Barrington Passage,NS,B0W 1G0,"Barrington Passage, NS B0W 1G0
(43.523152, -65.611303)"
004956,Eating Establishment,Main Street Restaurant and Bakery,37764 Cabot Trail ,Ingonish Beach,NS,B0C 1L0,"Ingonish Beach, NS B0C 1L0
(46.646823, -60.408302)"
000774,Eating Establishment,Admiral Digby Inn,441 Shore RD,Digby,NS,B0V 1A0,"Digby, NS B0V 1A0
(44.608711, -65.781904)"
001914,Eating Establishment,The Dinner Plate Family Restaurant,2 Cann ST,Yarmouth,NS,B5A 4B1,"Yarmouth, NS B5A 4B1
(43.871366, -66.11797)"
005072,Eating Establishment,Henry House ,1222 Barrington ST,Halifax,NS,B3J 1Y4,"Halifax, NS B3J 1Y4
(44.640138, -63.57043)"
005335,Eating Establishment,"Boston Pizza , Halifax",1858 Granville ST,Halifax,NS,B3J 0A2,"Halifax, NS B3J 0A2
(44.648981, -63.574103)"
005365,Eating Establishment,Peter's Island Lighthouse Cafe,225 Water ST,Westport,NS,B0V 1H0,"Westport, NS B0V 1H0
(44.621726, -65.757469)"
004209,Club,St. Margaret's Sailing Club,5 Foxberry Hill RD,Glen Haven,NS,B3Z 2W2,"Glen Haven, NS B3Z 2W2
(44.662289, -63.749341)"
001004,Club,"RCL Br. 83, Florence",610 Bras D'or Florence RD,Florence,NS,B1Y 1E3,"Florence, NS B1Y 1E3
(46.256969, -60.266384)"
001044,Club,Birch Grove Fire Department,1424 Birch Grove RD,Birch Grove,NS,B1B 1L9,"Birch Grove, NS B1B 1L9
(46.121735, -59.953503)"
004627,Eating Establishment,Seagull Restaurant,35963 Cabot Trail ,Ingonish,NS,B0C 1K0,"Ingonish, NS B0C 1K0
(46.693302, -60.379813)"
001566,Club,"RCL Br. 105, North Ingonish",35169 Cabot Trail ,North Ingonish,NS,B0C 1L0,"North Ingonish, NS B0C 1L0
(46.646823, -60.408302)"
000801,Eating Establishment,Upper Deck Waterfront Fishery,1869 Upper Water  ST,Halifax,NS,B3J 1S9,"Halifax, NS B3J 1S9
(44.652261, -63.576866)"
000989,Club,"RCL Br. 53, Baddeck",37 Ross ST,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
004672,Club,Sackville Volunteer Firefighters Club,1 Metropolitan AV,Lower Sackville,NS,B4C 2S8,"Lower Sackville, NS B4C 2S8
(44.784943, -63.685484)"
001099,Club,Row Street Athletic Club,9 Row ST,Glace Bay,NS,B1A 4T8,"Glace Bay, NS B1A 4T8
(46.212612, -59.994206)"
004193,Eating Establishment,East Side Mario's Dining Room (Chain Lake),186 Chain Lake DR,Halifax,NS,B3S 1C5,"Halifax, NS B3S 1C5
(44.647827, -63.674215)"
002700,Eating Establishment,Lakeside Family Restaurant & Pizza,1594 St Margaret's Bay RD,Lakeside,NS,B3T 1B6,"Lakeside, NS B3T 1B6
(44.638492, -63.704248)"
001060,Club,New Waterford Columbus Club,3236 Plummer AV,New Waterford,NS,B1H 1X9,"New Waterford, NS B1H 1X9
(46.247917, -60.08182)"
000966,Eating Establishment,Steak & Stein Family Rest.(Portlant St),620 Portland ST,Dartmouth,NS,B2W 3E5,"Dartmouth, NS B2W 3E5
(44.680812, -63.538893)"
004868,Eating Establishment,Double Dragon Restaurant,9006 Commercial ST,New Minas,NS,B4N 3E2,"New Minas, NS B4N 3E2
(45.067912, -64.459656)"
005247,Eating Establishment,Lisa's Cafe,30 Water ST,Windsor,NS,B0N 2T0,"Windsor, NS B0N 2T0
(44.974763, -64.131268)"
001442,Club,Nine Mile River Comminity Club,7160 Highway 14 ,Nine Mile River,NS,B2S 2V4,"Nine Mile River, NS B2S 2V4
(45.024428, -63.560734)"
005220,Eating Establishment,Kellock's,160 Commercial  ST,Berwick,NS,B0P 1E0,"Berwick, NS B0P 1E0
(45.054682, -64.748833)"
000970,Eating Establishment,Telegraph House and Motel,479 Chebucto ST,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
001429,Club,"R.C.A.F. Association #102 Wing, Truro",22 Cottage  ST,Truro,NS,B2N 4P3,"Truro, NS B2N 4P3
(45.36277, -63.269805)"
001025,Club,"RCL Br. 86, Liscomb",31 McKinley Point RD,Spanish Ship Bay,NS,B0J 2A0,"Spanish Ship Bay, NS B0J 2A0
(45.023797, -61.995935)"
001432,Club,Yarmouth Knights of Columbus Club,10 Collins ST,Yarmouth,NS,B5A 3C4,"Yarmouth, NS B5A 3C4
(43.836872, -66.119073)"
003378,Eating Establishment,Roadside Willies Dining Room,27 Jennifer DR,Bible Hill,NS,B2N 6M5,"Bible Hill, NS B2N 6M5
(45.379159, -63.251277)"
001762,Club,Brookside Curling Club,1808 Main ST,River Hebert,NS,B0L 1G0,"River Hebert, NS B0L 1G0
(45.690566, -64.377891)"
002580,Eating Establishment,Mull Cafe Delicatessen,11630 Highway 19 ,Mabou,NS,B0E 1X0,"Mabou, NS B0E 1X0
(46.077579, -61.39362)"
005036,Eating Establishment,ela! Greek Taverna,150 Hector Gate RD,Dartmouth,NS,B3B 0E6,"Dartmouth, NS B3B 0E6
(44.706973, -63.559971)"
001744,Eating Establishment,New Moon Restaurant,78 Townsend ST,Sydney,NS,B1P 5C8,"Sydney, NS B1P 5C8
(46.134768, -60.193303)"
004745,Eating Establishment,Lobster Kettle Restaurant,41 Commercial ST,Louisbourg,NS,B1C 1B5,"Louisbourg, NS B1C 1B5
(45.917815, -59.97434)"
004789,Eating Establishment,Lavena's Catch Cafe Dining Room,15 Highway 217 ,Freeport,NS,B0V 1B0,"Freeport, NS B0V 1B0
(44.293564, -66.277794)"
004292,Eating Establishment,Grand Taj Restaurant,5175 South ST,Halifax,NS,B3J 1A2,"Halifax, NS B3J 1A2
(44.640217, -63.569153)"
003071,Eating Establishment,Solo Vera Dining Room,118 Wyse  RD,Dartmouth,NS,B3A 1N7,"Dartmouth, NS B3A 1N7
(44.669018, -63.576307)"
001288,Club,Club L'Estantue Community Centre,81 Club RD,Pinkney's Point,NS,B0W 1B0,"Pinkney's Point, NS B0W 1B0
(43.776056, -66.033144)"
002719,Club,Parrsboro Volunteer Fire Department,252 Willow  ST,Parrsboro,NS,B0M 1S0,"Parrsboro, NS B0M 1S0
(45.467124, -64.359312)"
005816,Club,Northfield District Fire Department,2233 Highway 10 ,West Northfield,NS,,"West Northfield, NS
(45.052852, -64.062213)"
002551,Club,Amherst Masonic Society,20 Lawrence ST,Amherst,NS,B4H 3G5,"Amherst, NS B4H 3G5
(45.833438, -64.214427)"
001223,Club,Amherst Fire Fighters,62 Albion ST,Amherst,NS,B4H 4A1,"Amherst, NS B4H 4A1
(45.838924, -64.200044)"
004037,Eating Establishment,Dooly's Dining Room (Portland St.),590 Portland ST,Dartmouth,NS,B2W 6B7,"Dartmouth, NS B2W 6B7
(44.67072, -63.531267)"
003138,Eating Establishment,Elm Tree Pub & Grill,1 Victoria ST,Amherst,NS,B4H 1X3,"Amherst, NS B4H 1X3
(45.831897, -64.21402)"
001069,Club,Eastern Shore Wildlife Assoc.,202 Pool RD,Sheet Harbour,,B0J 3B0,"Sheet Harbour B0J 3B0
(44.922015, -62.521117)"
005392,Eating Establishment,Mern's Place Licensed Diner,82 Main ST,Yarmouth,NS,B5A 1B1,"Yarmouth, NS B5A 1B1
(43.826779, -66.121847)"
001972,Eating Establishment,Grubstake Restaurant,7499 Main ST,Louisbourg,NS,B1C 1H8,"Louisbourg, NS B1C 1H8
(45.921024, -59.970674)"
003342,Eating Establishment,Martin Arms Hotel Dining Room,100 Kings RD,Sydney,NS,B1S 1A1,"Sydney, NS B1S 1A1
(46.129536, -60.196363)"
003800,Eating Establishment,Lower Deck Neighbour Bar & Grill,278 Lacewood DR,Halifax,NS,B3M 3N8,"Halifax, NS B3M 3N8
(44.662002, -63.657378)"
005315,Club,Sydney Mines Firemen's Club,1 Elliot ST,Sydney Mines,NS,B1V 2N2,"Sydney Mines, NS B1V 2N2
(46.243692, -60.229498)"
